age,years_experience,education_level,department,performance_score,performance_category,annual_performance,performance_level,age_group,experience_band
23,2,High School,Finance,9.0,Very Good,4.5,High,Young,Entry
21,26,Bachelor,Tech,5.0,Average,0.19230769230769232,Low,Young,Senior
25,32,High School,Tech,9.0,Very Good,0.28125,High,Young,Senior
23,6,Bachelor,HR,4.0,Average,0.6666666666666666,Low,Young,Junior
48,32,Master,Sales,10.0,Excellent,0.3125,High,Senior,Senior
37,4,PhD,Finance,5.0,Average,1.25,Low,Mid-Career,Entry
45,11,High School,HR,9.0,Very Good,0.8181818181818182,High,Mid-Career,Mid
53,17,High School,HR,8.0,Very Good,0.47058823529411764,High,Senior,Mid
29,38,PhD,Finance,3.0,Poor,0.07894736842105263,Low,Young,Senior
55,24,High School,Tech,1.0,Poor,0.041666666666666664,Low,Senior,Senior
33,5,High School,HR,3.0,Poor,0.6,Low,Mid-Career,Entry
50,34,Bachelor,Tech,4.0,Average,0.11764705882352941,Low,Senior,Senior
34,6,High School,Sales,2.0,Poor,0.3333333333333333,Low,Mid-Career,Junior
27,22,Master,Tech,1.0,Poor,0.045454545454545456,Low,Young,Senior
33,11,Master,Sales,7.0,Good,0.6363636363636364,Medium,Mid-Career,Mid
42,16,PhD,Tech,8.0,Very Good,0.5,High,Mid-Career,Mid
59,33,High School,HR,7.0,Good,0.21212121212121213,Medium,Senior,Senior
40,9,PhD,HR,5.0,Average,0.5555555555555556,Low,Mid-Career,Junior
35,6,Master,Sales,1.0,Poor,0.16666666666666666,Low,Mid-Career,Junior
37,16,High School,Finance,7.0,Good,0.4375,Medium,Mid-Career,Mid
43,29,High School,Sales,7.0,Good,0.2413793103448276,Medium,Mid-Career,Senior
45,3,PhD,Sales,9.0,Very Good,3.0,High,Mid-Career,Entry
44,20,Master,Tech,3.0,Poor,0.15,Low,Mid-Career,Mid
48,36,High School,Tech,9.0,Very Good,0.25,High,Senior,Senior
34,19,PhD,Sales,1.0,Poor,0.05263157894736842,Low,Mid-Career,Mid
20,26,Master,HR,1.0,Poor,0.038461538461538464,Low,Young,Senior
44,3,PhD,Tech,4.0,Average,1.3333333333333333,Low,Mid-Career,Entry
26,19,Bachelor,Finance,9.0,Very Good,0.47368421052631576,High,Young,Mid
28,20,High School,Tech,6.0,Good,0.3,Medium,Young,Mid
43,32,Bachelor,Tech,3.0,Poor,0.09375,Low,Mid-Career,Senior
20,7,Master,Finance,1.0,Poor,0.14285714285714285,Low,Young,Junior
27,33,Bachelor,Sales,4.0,Average,0.12121212121212122,Low,Young,Senior
43,39,Bachelor,Finance,9.0,Very Good,0.23076923076923078,High,Mid-Career,Senior
30,18,Master,Sales,3.0,Poor,0.16666666666666666,Low,Mid-Career,Mid
36,1,PhD,Sales,9.0,Very Good,9.0,High,Mid-Career,Entry
27,11,Bachelor,Sales,7.0,Good,0.6363636363636364,Medium,Young,Mid
54,28,PhD,Finance,4.0,Average,0.14285714285714285,Low,Senior,Senior
54,25,Bachelor,Sales,3.0,Poor,0.12,Low,Senior,Senior
52,23,PhD,HR,10.0,Excellent,0.43478260869565216,High,Senior,Senior
24,31,Master,Finance,5.0,Average,0.16129032258064516,Low,Young,Senior
58,30,Bachelor,HR,5.0,Average,0.16666666666666666,Low,Senior,Senior
47,35,Master,Sales,3.0,Poor,0.08571428571428572,Low,Senior,Senior
26,7,Bachelor,Tech,9.0,Very Good,1.2857142857142858,High,Young,Junior
28,16,Master,Sales,4.0,Average,0.25,Low,Young,Mid
27,26,Master,HR,5.0,Average,0.19230769230769232,Low,Young,Senior
31,2,Bachelor,HR,4.0,Average,2.0,Low,Mid-Career,Entry
53,1,Bachelor,Finance,5.0,Average,5.0,Low,Senior,Entry
52,12,Bachelor,Tech,7.0,Good,0.5833333333333334,Medium,Senior,Mid
42,5,High School,Finance,9.0,Very Good,1.8,High,Mid-Career,Entry
43,37,PhD,HR,7.0,Good,0.1891891891891892,Medium,Mid-Career,Senior
56,32,High School,Sales,5.0,Average,0.15625,Low,Senior,Senior
54,9,High School,Tech,10.0,Excellent,1.1111111111111112,High,Senior,Junior
59,35,Master,Sales,10.0,Excellent,0.2857142857142857,High,Senior,Senior
41,19,Bachelor,Sales,7.0,Good,0.3684210526315789,Medium,Mid-Career,Mid
46,16,PhD,Tech,10.0,Excellent,0.625,High,Senior,Mid
54,3,Master,Finance,5.0,Average,1.6666666666666667,Low,Senior,Entry
20,20,High School,Sales,3.0,Poor,0.15,Low,Young,Mid
54,24,Bachelor,HR,7.0,Good,0.2916666666666667,Medium,Senior,Senior
56,33,Master,Sales,2.0,Poor,0.06060606060606061,Low,Senior,Senior
33,24,Bachelor,Tech,9.0,Very Good,0.375,High,Mid-Career,Senior
22,11,Master,Tech,10.0,Excellent,0.9090909090909091,High,Young,Mid
20,8,Bachelor,Tech,10.0,Excellent,1.25,High,Young,Junior
24,36,High School,Finance,1.0,Poor,0.027777777777777776,Low,Young,Senior
45,38,PhD,Sales,6.0,Good,0.15789473684210525,Medium,Mid-Career,Senior
33,20,High School,Finance,7.0,Good,0.35,Medium,Mid-Career,Mid
58,35,PhD,Finance,8.0,Very Good,0.22857142857142856,High,Senior,Senior
46,25,Bachelor,Tech,10.0,Excellent,0.4,High,Senior,Senior
28,35,Master,Tech,9.0,Very Good,0.2571428571428571,High,Young,Senior
34,25,High School,Finance,2.0,Poor,0.08,Low,Mid-Career,Senior
34,29,PhD,Sales,10.0,Excellent,0.3448275862068966,High,Mid-Career,Senior
45,18,High School,HR,2.0,Poor,0.1111111111111111,Low,Mid-Career,Mid
32,18,PhD,Finance,5.0,Average,0.2777777777777778,Low,Mid-Career,Mid
51,2,High School,Sales,5.0,Average,2.5,Low,Senior,Entry
58,35,PhD,Tech,6.0,Good,0.17142857142857143,Medium,Senior,Senior
51,16,PhD,Tech,3.0,Poor,0.1875,Low,Senior,Mid
23,36,Bachelor,Sales,8.0,Very Good,0.2222222222222222,High,Young,Senior
49,33,PhD,HR,1.0,Poor,0.030303030303030304,Low,Senior,Senior
56,4,Bachelor,Tech,6.0,Good,1.5,Medium,Senior,Entry
58,19,Bachelor,Tech,7.0,Good,0.3684210526315789,Medium,Senior,Mid
48,26,PhD,HR,5.0,Average,0.19230769230769232,Low,Senior,Senior
34,3,High School,HR,5.0,Average,1.6666666666666667,Low,Mid-Career,Entry
27,19,PhD,Tech,2.0,Poor,0.10526315789473684,Low,Young,Mid
40,20,High School,HR,3.0,Poor,0.15,Low,Mid-Career,Mid
58,32,High School,Sales,7.0,Good,0.21875,Medium,Senior,Senior
38,7,PhD,Sales,6.0,Good,0.8571428571428571,Medium,Mid-Career,Junior
42,33,PhD,Tech,2.0,Poor,0.06060606060606061,Low,Mid-Career,Senior
30,39,PhD,Finance,6.0,Good,0.15384615384615385,Medium,Mid-Career,Senior
30,18,PhD,Tech,2.0,Poor,0.1111111111111111,Low,Mid-Career,Mid
43,1,Master,Tech,2.0,Poor,2.0,Low,Mid-Career,Entry
55,11,Bachelor,Finance,2.0,Poor,0.18181818181818182,Low,Senior,Mid
59,28,High School,Finance,3.0,Poor,0.10714285714285714,Low,Senior,Senior
43,25,PhD,Finance,2.0,Poor,0.08,Low,Mid-Career,Senior
22,23,PhD,Sales,4.0,Average,0.17391304347826086,Low,Young,Senior
41,31,PhD,HR,9.0,Very Good,0.2903225806451613,High,Mid-Career,Senior
21,30,Master,Sales,6.0,Good,0.2,Medium,Young,Senior
43,35,PhD,HR,1.0,Poor,0.02857142857142857,Low,Mid-Career,Senior
49,7,PhD,Sales,8.0,Very Good,1.1428571428571428,High,Senior,Junior
57,16,PhD,HR,7.0,Good,0.4375,Medium,Senior,Mid
21,26,Bachelor,Sales,10.0,Excellent,0.38461538461538464,High,Young,Senior
40,2,Master,Finance,3.0,Poor,1.5,Low,Mid-Career,Entry
52,1,PhD,Tech,1.0,Poor,1.0,Low,Senior,Entry
31,12,High School,Sales,5.0,Average,0.4166666666666667,Low,Mid-Career,Mid
41,5,High School,HR,4.0,Average,0.8,Low,Mid-Career,Entry
44,37,High School,Finance,10.0,Excellent,0.2702702702702703,High,Mid-Career,Senior
46,32,Master,Sales,8.0,Very Good,0.25,High,Senior,Senior
47,9,Master,Sales,1.0,Poor,0.1111111111111111,Low,Senior,Junior
35,35,High School,Finance,10.0,Excellent,0.2857142857142857,High,Mid-Career,Senior
34,19,PhD,Sales,1.0,Poor,0.05263157894736842,Low,Mid-Career,Mid
22,16,Master,Tech,4.0,Average,0.25,Low,Young,Mid
56,3,High School,Sales,8.0,Very Good,2.6666666666666665,High,Senior,Entry
26,20,High School,Tech,5.0,Average,0.25,Low,Young,Mid
40,24,PhD,Tech,2.0,Poor,0.08333333333333333,Low,Mid-Career,Senior
28,33,Bachelor,Finance,6.0,Good,0.18181818181818182,Medium,Young,Senior
58,24,Master,Sales,5.0,Average,0.20833333333333334,Low,Senior,Senior
37,11,PhD,Finance,2.0,Poor,0.18181818181818182,Low,Mid-Career,Mid
23,8,High School,Sales,3.0,Poor,0.375,Low,Young,Junior
44,36,High School,Sales,9.0,Very Good,0.25,High,Mid-Career,Senior
33,38,PhD,HR,7.0,Good,0.18421052631578946,Medium,Mid-Career,Senior
28,20,Master,Sales,7.0,Good,0.35,Medium,Young,Mid
45,35,Bachelor,Finance,6.0,Good,0.17142857142857143,Medium,Mid-Career,Senior
21,25,Bachelor,Tech,8.0,Very Good,0.32,High,Young,Senior
39,35,High School,Sales,4.0,Average,0.11428571428571428,Low,Mid-Career,Senior
47,25,Master,HR,8.0,Very Good,0.32,High,Senior,Senior
26,29,Bachelor,Finance,4.0,Average,0.13793103448275862,Low,Young,Senior
27,18,Master,Sales,8.0,Very Good,0.4444444444444444,High,Young,Mid
54,18,Master,Finance,9.0,Very Good,0.5,High,Senior,Mid
33,2,High School,HR,3.0,Poor,1.5,Low,Mid-Career,Entry
36,35,Bachelor,HR,3.0,Poor,0.08571428571428572,Low,Mid-Career,Senior
55,16,PhD,Finance,2.0,Poor,0.125,Low,Senior,Mid
59,36,High School,Sales,10.0,Excellent,0.2777777777777778,High,Senior,Senior
23,33,Bachelor,Tech,3.0,Poor,0.09090909090909091,Low,Young,Senior
21,4,Bachelor,HR,3.0,Poor,0.75,Low,Young,Entry
25,33,Bachelor,Sales,5.0,Average,0.15151515151515152,Low,Young,Senior
23,14,Bachelor,Sales,5.0,Average,0.35714285714285715,Low,Young,Mid
48,21,Bachelor,Tech,2.0,Poor,0.09523809523809523,Low,Senior,Senior
37,20,Master,HR,10.0,Excellent,0.5,High,Mid-Career,Mid
45,8,High School,HR,6.0,Good,0.75,Medium,Mid-Career,Junior
53,7,Master,Sales,5.0,Average,0.7142857142857143,Low,Senior,Junior
29,3,PhD,Sales,6.0,Good,2.0,Medium,Young,Entry
55,17,Bachelor,Tech,1.0,Poor,0.058823529411764705,Low,Senior,Mid
33,33,High School,Tech,5.0,Average,0.15151515151515152,Low,Mid-Career,Senior
50,12,Bachelor,HR,9.0,Very Good,0.75,High,Senior,Mid
34,22,High School,Finance,10.0,Excellent,0.45454545454545453,High,Mid-Career,Senior
27,22,Master,HR,2.0,Poor,0.09090909090909091,Low,Young,Senior
33,30,High School,Sales,1.0,Poor,0.03333333333333333,Low,Mid-Career,Senior
42,38,PhD,HR,10.0,Excellent,0.2631578947368421,High,Mid-Career,Senior
59,38,PhD,Finance,9.0,Very Good,0.23684210526315788,High,Senior,Senior
40,8,High School,Tech,10.0,Excellent,1.25,High,Mid-Career,Junior
35,27,High School,Finance,9.0,Very Good,0.3333333333333333,High,Mid-Career,Senior
37,27,High School,Finance,9.0,Very Good,0.3333333333333333,High,Mid-Career,Senior
43,34,High School,Finance,6.0,Good,0.17647058823529413,Medium,Mid-Career,Senior
45,21,PhD,Tech,8.0,Very Good,0.38095238095238093,High,Mid-Career,Senior
44,30,Bachelor,Finance,1.0,Poor,0.03333333333333333,Low,Mid-Career,Senior
48,33,High School,Finance,10.0,Excellent,0.30303030303030304,High,Senior,Senior
34,28,High School,Finance,4.0,Average,0.14285714285714285,Low,Mid-Career,Senior
20,33,PhD,Sales,1.0,Poor,0.030303030303030304,Low,Young,Senior
44,5,PhD,Finance,8.0,Very Good,1.6,High,Mid-Career,Entry
26,19,Master,Tech,1.0,Poor,0.05263157894736842,Low,Young,Mid
28,4,High School,Finance,3.0,Poor,0.75,Low,Young,Entry
43,35,Master,Finance,4.0,Average,0.11428571428571428,Low,Mid-Career,Senior
20,17,PhD,Tech,8.0,Very Good,0.47058823529411764,High,Young,Mid
27,28,PhD,Finance,6.0,Good,0.21428571428571427,Medium,Young,Senior
43,30,Bachelor,Tech,10.0,Excellent,0.3333333333333333,High,Mid-Career,Senior
30,29,High School,Finance,7.0,Good,0.2413793103448276,Medium,Mid-Career,Senior
36,6,Master,Tech,8.0,Very Good,1.3333333333333333,High,Mid-Career,Junior
27,35,PhD,Finance,2.0,Poor,0.05714285714285714,Low,Young,Senior
54,37,PhD,Finance,10.0,Excellent,0.2702702702702703,High,Senior,Senior
54,24,Master,Sales,8.0,Very Good,0.3333333333333333,High,Senior,Senior
52,29,Bachelor,Sales,3.0,Poor,0.10344827586206896,Low,Senior,Senior
24,31,PhD,Finance,7.0,Good,0.22580645161290322,Medium,Young,Senior
58,35,High School,Finance,3.0,Poor,0.08571428571428572,Low,Senior,Senior
47,33,PhD,HR,7.0,Good,0.21212121212121213,Medium,Senior,Senior
26,21,High School,Tech,2.0,Poor,0.09523809523809523,Low,Young,Senior
28,32,Master,HR,10.0,Excellent,0.3125,High,Young,Senior
27,23,High School,Sales,6.0,Good,0.2608695652173913,Medium,Young,Senior
31,33,Master,Sales,3.0,Poor,0.09090909090909091,Low,Mid-Career,Senior
53,3,High School,Sales,3.0,Poor,1.0,Low,Senior,Entry
52,18,Master,Sales,9.0,Very Good,0.5,High,Senior,Mid
42,25,High School,Finance,7.0,Good,0.28,Medium,Mid-Career,Senior
43,31,Bachelor,Sales,5.0,Average,0.16129032258064516,Low,Mid-Career,Senior
56,3,High School,Finance,10.0,Excellent,3.3333333333333335,High,Senior,Entry
54,24,High School,Finance,7.0,Good,0.2916666666666667,Medium,Senior,Senior
59,32,Bachelor,Sales,9.0,Very Good,0.28125,High,Senior,Senior
41,22,PhD,Sales,1.0,Poor,0.045454545454545456,Low,Mid-Career,Senior
46,23,PhD,Tech,7.0,Good,0.30434782608695654,Medium,Senior,Senior
54,2,High School,HR,6.0,Good,3.0,Medium,Senior,Entry
20,27,Bachelor,Sales,10.0,Excellent,0.37037037037037035,High,Young,Senior
54,2,High School,Tech,9.0,Very Good,4.5,High,Senior,Entry
56,26,Master,Tech,1.0,Poor,0.038461538461538464,Low,Senior,Senior
33,17,Master,HR,4.0,Average,0.23529411764705882,Low,Mid-Career,Mid
22,33,High School,Finance,9.0,Very Good,0.2727272727272727,High,Young,Senior
20,9,PhD,Sales,4.0,Average,0.4444444444444444,Low,Young,Junior
24,39,PhD,HR,10.0,Excellent,0.2564102564102564,High,Young,Senior
45,29,High School,Sales,3.0,Poor,0.10344827586206896,Low,Mid-Career,Senior
33,26,High School,Tech,9.0,Very Good,0.34615384615384615,High,Mid-Career,Senior
58,35,Master,Tech,2.0,Poor,0.05714285714285714,Low,Senior,Senior
46,25,PhD,Finance,4.0,Average,0.16,Low,Senior,Senior
28,24,High School,Tech,6.0,Good,0.25,Medium,Young,Senior
34,13,Master,Tech,2.0,Poor,0.15384615384615385,Low,Mid-Career,Mid
34,7,PhD,HR,8.0,Very Good,1.1428571428571428,High,Mid-Career,Junior
45,36,Bachelor,Sales,8.0,Very Good,0.2222222222222222,High,Mid-Career,Senior
32,20,Master,Sales,1.0,Poor,0.05,Low,Mid-Career,Mid
51,1,PhD,HR,3.0,Poor,3.0,Low,Senior,Entry
58,8,PhD,Finance,10.0,Excellent,1.25,High,Senior,Junior
51,16,Master,Sales,9.0,Very Good,0.5625,High,Senior,Mid
23,14,Bachelor,Tech,5.0,Average,0.35714285714285715,Low,Young,Mid
49,12,Master,Sales,6.0,Good,0.5,Medium,Senior,Mid
56,23,PhD,Tech,4.0,Average,0.17391304347826086,Low,Senior,Senior
42,15,High School,Finance,10.0,Excellent,0.6666666666666666,High,Mid-Career,Mid
58,28,High School,HR,2.0,Poor,0.07142857142857142,Low,Senior,Senior
34,34,Master,Sales,8.0,Very Good,0.23529411764705882,High,Mid-Career,Senior
48,2,PhD,HR,6.0,Good,3.0,Medium,Senior,Entry
55,32,High School,Sales,5.0,Average,0.15625,Low,Senior,Senior
32,23,PhD,Tech,9.0,Very Good,0.391304347826087,High,Mid-Career,Senior
51,22,Master,HR,1.0,Poor,0.045454545454545456,Low,Senior,Senior
26,25,High School,Sales,5.0,Average,0.2,Low,Young,Senior
41,22,PhD,Tech,6.0,Good,0.2727272727272727,Medium,Mid-Career,Senior
47,22,High School,HR,5.0,Average,0.22727272727272727,Low,Senior,Senior
21,6,Master,HR,6.0,Good,1.0,Medium,Young,Junior
25,15,PhD,Sales,6.0,Good,0.4,Medium,Young,Mid
47,37,High School,Sales,7.0,Good,0.1891891891891892,Medium,Senior,Senior
47,33,Master,Sales,4.0,Average,0.12121212121212122,Low,Senior,Senior
39,8,High School,Tech,8.0,Very Good,1.0,High,Mid-Career,Junior
49,5,High School,Sales,7.0,Good,1.4,Medium,Senior,Entry
30,39,Bachelor,HR,9.0,Very Good,0.23076923076923078,High,Mid-Career,Senior
47,4,Bachelor,HR,7.0,Good,1.75,Medium,Senior,Entry
44,6,Master,Sales,3.0,Poor,0.5,Low,Mid-Career,Junior
58,32,Bachelor,Sales,3.0,Poor,0.09375,Low,Senior,Senior
52,30,Master,Finance,8.0,Very Good,0.26666666666666666,High,Senior,Senior
20,35,Bachelor,HR,5.0,Average,0.14285714285714285,Low,Young,Senior
46,16,High School,Tech,4.0,Average,0.25,Low,Senior,Mid
32,13,Master,Finance,8.0,Very Good,0.6153846153846154,High,Mid-Career,Mid
22,30,Master,Sales,6.0,Good,0.2,Medium,Young,Senior
58,19,High School,Sales,2.0,Poor,0.10526315789473684,Low,Senior,Mid
25,17,Master,HR,4.0,Average,0.23529411764705882,Low,Young,Mid
27,19,Master,Sales,4.0,Average,0.21052631578947367,Low,Young,Mid
46,28,Bachelor,Tech,6.0,Good,0.21428571428571427,Medium,Senior,Senior
28,26,Master,HR,6.0,Good,0.23076923076923078,Medium,Young,Senior
56,37,PhD,Sales,1.0,Poor,0.02702702702702703,Low,Senior,Senior
52,26,High School,HR,8.0,Very Good,0.3076923076923077,High,Senior,Senior
43,23,Bachelor,Sales,6.0,Good,0.2608695652173913,Medium,Mid-Career,Senior
34,9,Bachelor,Sales,3.0,Poor,0.3333333333333333,Low,Mid-Career,Junior
51,12,PhD,Sales,9.0,Very Good,0.75,High,Senior,Mid
51,1,High School,Tech,2.0,Poor,2.0,Low,Senior,Entry
43,1,High School,Tech,8.0,Very Good,8.0,High,Mid-Career,Entry
31,34,Bachelor,HR,10.0,Excellent,0.29411764705882354,High,Mid-Career,Senior
58,32,Master,Sales,3.0,Poor,0.09375,Low,Senior,Senior
21,25,Bachelor,Sales,5.0,Average,0.2,Low,Young,Senior
22,1,High School,Tech,6.0,Good,6.0,Medium,Young,Entry
56,16,PhD,Sales,10.0,Excellent,0.625,High,Senior,Mid
36,39,Bachelor,Tech,6.0,Good,0.15384615384615385,Medium,Mid-Career,Senior
21,5,High School,Sales,4.0,Average,0.8,Low,Young,Entry
21,22,Bachelor,HR,3.0,Poor,0.13636363636363635,Low,Young,Senior
47,29,Master,Sales,4.0,Average,0.13793103448275862,Low,Senior,Senior
42,3,Bachelor,Sales,1.0,Poor,0.3333333333333333,Low,Mid-Career,Entry
56,12,Bachelor,Finance,4.0,Average,0.3333333333333333,Low,Senior,Mid
51,26,High School,Tech,1.0,Poor,0.038461538461538464,Low,Senior,Senior
52,16,High School,Sales,1.0,Poor,0.0625,Low,Senior,Mid
20,37,High School,Sales,10.0,Excellent,0.2702702702702703,High,Young,Senior
38,22,Bachelor,Finance,6.0,Good,0.2727272727272727,Medium,Mid-Career,Senior
21,29,Master,Finance,5.0,Average,0.1724137931034483,Low,Young,Senior
45,14,PhD,Tech,4.0,Average,0.2857142857142857,Low,Mid-Career,Mid
51,28,PhD,Finance,3.0,Poor,0.10714285714285714,Low,Senior,Senior
25,5,High School,HR,1.0,Poor,0.2,Low,Young,Entry
51,30,High School,Finance,6.0,Good,0.2,Medium,Senior,Senior
23,5,Bachelor,HR,2.0,Poor,0.4,Low,Young,Entry
30,12,PhD,Tech,8.0,Very Good,0.6666666666666666,High,Mid-Career,Mid
36,16,High School,Tech,10.0,Excellent,0.625,High,Mid-Career,Mid
57,26,Master,Tech,5.0,Average,0.19230769230769232,Low,Senior,Senior
43,26,Master,Tech,7.0,Good,0.2692307692307692,Medium,Mid-Career,Senior
24,21,High School,Tech,10.0,Excellent,0.47619047619047616,High,Young,Senior
53,39,High School,HR,2.0,Poor,0.05128205128205128,Low,Senior,Senior
25,36,PhD,HR,8.0,Very Good,0.2222222222222222,High,Young,Senior
41,33,PhD,Tech,2.0,Poor,0.06060606060606061,Low,Mid-Career,Senior
30,30,Bachelor,Finance,4.0,Average,0.13333333333333333,Low,Mid-Career,Senior
35,37,PhD,Sales,1.0,Poor,0.02702702702702703,Low,Mid-Career,Senior
52,23,Master,Tech,5.0,Average,0.21739130434782608,Low,Senior,Senior
28,10,Master,Finance,9.0,Very Good,0.9,High,Young,Junior
25,5,High School,Sales,1.0,Poor,0.2,Low,Young,Entry
35,36,PhD,Tech,9.0,Very Good,0.25,High,Mid-Career,Senior
48,34,Bachelor,Tech,8.0,Very Good,0.23529411764705882,High,Senior,Senior
22,31,Master,HR,6.0,Good,0.1935483870967742,Medium,Young,Senior
39,10,Master,Sales,7.0,Good,0.7,Medium,Mid-Career,Junior
55,19,Bachelor,Sales,3.0,Poor,0.15789473684210525,Low,Senior,Mid
58,31,Bachelor,HR,2.0,Poor,0.06451612903225806,Low,Senior,Senior
48,3,PhD,HR,1.0,Poor,0.3333333333333333,Low,Senior,Entry
34,24,Master,HR,3.0,Poor,0.125,Low,Mid-Career,Senior
27,32,High School,Finance,6.0,Good,0.1875,Medium,Young,Senior
40,22,Master,Sales,8.0,Very Good,0.36363636363636365,High,Mid-Career,Senior
58,23,High School,Finance,9.0,Very Good,0.391304347826087,High,Senior,Senior
38,2,Bachelor,Finance,7.0,Good,3.5,Medium,Mid-Career,Entry
42,27,Master,HR,4.0,Average,0.14814814814814814,Low,Mid-Career,Senior
30,2,High School,Tech,6.0,Good,3.0,Medium,Mid-Career,Entry
30,26,Bachelor,Tech,5.0,Average,0.19230769230769232,Low,Mid-Career,Senior
43,17,Master,Finance,8.0,Very Good,0.47058823529411764,High,Mid-Career,Mid
55,33,Master,Finance,1.0,Poor,0.030303030303030304,Low,Senior,Senior
59,9,High School,HR,1.0,Poor,0.1111111111111111,Low,Senior,Junior
43,39,High School,Finance,6.0,Good,0.15384615384615385,Medium,Mid-Career,Senior
22,29,High School,HR,10.0,Excellent,0.3448275862068966,High,Young,Senior
41,26,Bachelor,Tech,2.0,Poor,0.07692307692307693,Low,Mid-Career,Senior
21,35,High School,Tech,5.0,Average,0.14285714285714285,Low,Young,Senior
43,25,Master,Sales,1.0,Poor,0.04,Low,Mid-Career,Senior
49,24,Master,Tech,7.0,Good,0.2916666666666667,Medium,Senior,Senior
57,13,High School,Finance,1.0,Poor,0.07692307692307693,Low,Senior,Mid
21,7,High School,Tech,4.0,Average,0.5714285714285714,Low,Young,Junior
40,36,PhD,HR,9.0,Very Good,0.25,High,Mid-Career,Senior
52,20,Master,Tech,1.0,Poor,0.05,Low,Senior,Mid
31,1,Bachelor,Sales,4.0,Average,4.0,Low,Mid-Career,Entry
